,Ticker,2020-02,2020-06-08 12:22:55.456383,Volume,Ratio1 in 5 yr,Ratio2 since Feb,Ratio1/Ratio2,Sector,Industry
2066,EVSI,9.853333314259848,8.275799751281737,24744.0,1.4238844500454124,0.8398984878858116,1.6953054096211169,,
2074,WSTL,0.9816666742165884,0.8251000046730042,95923.0,0.17134186857136194,0.8405093361567652,0.203854807080221,,
2078,TRCH,0.5983333190282186,0.5030000209808351,3764881.0,0.7918249026097325,0.8406685788412737,0.9418990105484086,,
2082,PXD,138.24019114176429,116.25,1627945.0,0.969237412831101,0.8409276567100986,1.1525812061206069,,
2084,INS,42.563332875569664,35.79999923706055,81742.0,26.64642781654925,0.8410995290645787,31.680469309243144,,
2086,PSM,26.60412979125977,22.3799991607666,0.0,1.7694791011309787,0.8412227476096242,2.103460832649902,,
2093,HTIA,25.5343287785848,21.48900032043457,4028.0,4.111559089145832,0.8415729470224815,4.885564707958699,,
2096,RBCN,8.90666659673055,7.5,2306.0,0.2092430990192231,0.8420658748754659,0.2484878027507864,,
2102,GMLPP,22.28953870137532,18.780000686645508,21685.0,1.2510962573862725,0.8425477502361559,1.4848965616911387,,
2104,LPI,30.533333142598465,25.729999542236328,941561.0,0.16114565762480698,0.8426855797914579,0.1912286877683207,,
2106,CXE,5.458151419957479,4.599999904632568,31315.0,1.5119200489668083,0.8427761618728423,1.7939758115689632,,
2109,TRMK,31.624334653218583,26.65999984741211,182678.0,1.547744921348884,0.8430216837684131,1.8359491234321152,,
2112,PFI,41.707176208496094,35.169998168945305,15188.0,1.4559353734170568,0.8432601141139087,1.7265554827610254,,
2114,CGIX,4.663333336512248,3.934999942779541,1016340.0,0.023107189738060696,0.8438169993060297,0.027384124469007457,,
2116,TXT,47.92827987670898,40.45000076293945,1050722.0,1.1507131199013414,0.8439693823144352,1.3634536323411597,,
2119,GECCN,24.856678326924637,20.989999771118164,2106.0,1.4033715867649743,0.8444410590606506,1.6618940679247332,,
2123,IEP,61.94625981648764,52.33000183105469,229708.0,1.1990719926536195,0.8447645101751006,1.419415681187979,,
2126,XPER,16.257700284322098,13.734999656677244,410968.0,0.5668328992672322,0.8448304136792589,0.6709428189246406,,
2128,FVC,29.588593800862625,25.000600814819336,17587.0,1.7028560890923774,0.8449404856168077,2.0153562506231317,,
2131,CIK,3.29335900147756,2.783099889755249,247276.0,1.6080596193868442,0.8450642303212667,1.902884492904771,,
2132,UEPS,4.153333346048991,3.509999990463257,188598.0,0.3681829124699829,0.8451043289848794,0.4356656330375636,,
2133,HCFT,3.1659782727559413,2.6760001182556152,142133.0,0.70359116380916,0.845236412796413,0.8324193718552323,,
2135,FEM,25.748208681742355,21.770000457763672,56720.0,1.386646423567464,0.8454957285319983,1.6400395374853578,,
2136,DFNL,25.5433333714803,21.600000381469727,3911.0,1.6569738784317092,0.8456218328022373,1.9594738619044385,,
2142,CTL,13.221518198649086,11.1850004196167,4366652.0,0.5642945993522441,0.8459694455330803,0.6670389838922123,,
2145,GGN,4.040024201075236,3.4182000160217285,1020904.0,1.1927331334656837,0.8460840445242849,1.409709994160573,,
2148,SCKT,1.6566666563351948,1.4020999670028689,40947.0,0.6579619100176648,0.8463380135292471,0.7774221404447497,,
2161,ALTY,14.444261074066162,12.239999771118164,12847.0,1.4303353816874145,0.8473953571148322,1.6879197763808222,,
2162,CLAR,13.488333225250244,11.43000030517578,51587.0,1.6272441412345635,0.8473990161941395,1.9202808949942909,,
2164,FCEF,23.26587041219075,19.71999931335449,152576.0,1.6547309811358366,0.8475934475686622,1.9522696711288456,,
2165,JCOM,96.89499918619794,82.12999725341797,188175.0,1.7063041006484068,0.8476185349420682,2.0130566172258453,,
2173,GSLD,25.03499984741211,21.239999771118164,15872.0,0.8065534000093284,0.8484122189165406,0.95066216872658,,
2193,NBEV,2.216666658719381,1.8849999904632568,3436167.0,6.341241280337013,0.8503759385961372,7.456985778320112,,
2199,FVE,4.890000104904175,4.1599998474121085,82384.0,0.12734916473283112,0.8507156969669696,0.1496965028232877,,
2206,DYNT,0.8999999960263572,0.7662000060081482,2294105.0,0.24506936307269564,0.8513333437678254,0.2878653407231406,,
2208,CLI,21.523591995239254,18.325000762939453,684710.0,1.3220800683893617,0.8513913833245264,1.5528464279575895,,
2211,SUNW,0.7750000158945719,0.6600000262260437,1405970.0,0.02643204597581212,0.8516129196000269,0.031037629147554893,,
2217,STRM,1.2266666491826377,1.0449999570846558,61689.0,0.29945157625893115,0.8519021510701124,0.351509355719758,,
2220,FNHC,15.410053730010985,13.130000114440918,38428.0,0.6954062515436097,0.8520411638066078,0.8161650881241339,,
2221,IDE,11.26678021748861,9.600000381469727,46721.0,1.2196947939811085,0.8520624522850229,1.4314617323063417,,
2223,VNQI,58.863333384195954,50.15800094604492,603525.0,1.382407832377157,0.8521094213042255,1.6223360495900454,,
2227,IHD,7.531718015670776,6.420000076293945,43923.0,1.1999444776764905,0.8523951723811555,1.4077326063737083,,
2228,RNST,31.979683558146164,27.26000022888184,120896.0,1.2515091632388586,0.8524161966555144,1.4681902668546185,,
2230,BNSO,2.708333373069763,2.3087999820709233,18355.0,1.8934892796197655,0.8524799808725213,2.221153953294905,,
